domain,verdict,score,confidence,severity,action,reason,timestamp,source
185.220.101.45,LIKELY BENIGN,100,10,informational,no_action,185.220.101.45 — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:10.208234Z,domain_intel
185.220.101.47,LIKELY BENIGN,100,10,informational,no_action,185.220.101.47 — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:10.537405Z,domain_intel
1e100.net,LIKELY BENIGN,100,10,informational,no_action,1e100.net — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:10.810768Z,domain_intel
ac.in,LIKELY BENIGN,100,10,informational,no_action,ac.in — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:11.206081Z,domain_intel
akamaitechnologies.com,LIKELY BENIGN,100,10,informational,no_action,akamaitechnologies.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:11.453084Z,domain_intel
amateursclips.net,LIKELY BENIGN,100,10,informational,no_action,amateursclips.net — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:11.657366Z,domain_intel
amazon.com,SUSPICIOUS — INVESTIGATE,45,41,medium,investigate,amazon.com — SUSPICIOUS — INVESTIGATE. Risk score: 55/200. Detected: 1 indicator(s). Recommended: IOC enrichment · Add to watchlist · Analyst review,2026-03-31T09:52:11.876400Z,domain_intel
bitcommand.com,LIKELY BENIGN,100,10,informational,no_action,bitcommand.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:12.139493Z,domain_intel
chatgpt.com,LIKELY BENIGN,100,10,informational,no_action,chatgpt.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:12.456270Z,domain_intel
cloudzy.com,LIKELY BENIGN,100,10,informational,no_action,cloudzy.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:12.648326Z,domain_intel
cricbuzz.com,LIKELY BENIGN,100,10,informational,no_action,cricbuzz.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:12.831530Z,domain_intel
ec2-35-174-127-31.com,SUSPICIOUS — INVESTIGATE,40,42,medium,investigate,ec2-35-174-127-31.com — SUSPICIOUS — INVESTIGATE. Risk score: 60/200. Detected: 1 indicator(s). Recommended: IOC enrichment · Add to watchlist · Analyst review,2026-03-31T09:52:13.056587Z,domain_intel
ec2-50-19-115-217.com,SUSPICIOUS — INVESTIGATE,40,42,medium,investigate,ec2-50-19-115-217.com — SUSPICIOUS — INVESTIGATE. Risk score: 60/200. Detected: 1 indicator(s). Recommended: IOC enrichment · Add to watchlist · Analyst review,2026-03-31T09:52:13.297496Z,domain_intel
ec2-54-86-237-188.com,SUSPICIOUS — INVESTIGATE,40,42,medium,investigate,ec2-54-86-237-188.com — SUSPICIOUS — INVESTIGATE. Risk score: 60/200. Detected: 1 indicator(s). Recommended: IOC enrichment · Add to watchlist · Analyst review,2026-03-31T09:52:13.483307Z,domain_intel
facebook.com,BENIGN,98,99,informational,no_action,facebook.com is classified as known legitimate infrastructure. No incident report generated.,2026-03-31T09:52:13.637873Z,domain_intel
fiber7.in,LIKELY BENIGN,100,10,informational,no_action,fiber7.in — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:13.850953Z,domain_intel
flipkart.com,LIKELY BENIGN,100,10,informational,no_action,flipkart.com — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:14.084018Z,domain_intel
for-privacy.net,LIKELY BENIGN,100,10,informational,no_action,for-privacy.net — LIKELY BENIGN. Risk score: 0/200. Detected: 0 indicator(s). Recommended: No action required — insufficient signals,2026-03-31T09:52:14.303286Z,domain_intel
google.com,BENIGN,98,99,informational,no_action,google.com is classified as known legitimate infrastructure. No incident report generated.,2026-03-31T09:52:14.468329Z,domain_intel
googleusercontent.com,SUSPICIOUS — INVESTIGATE,45,41,medium,investigate,googleusercontent.com — SUSPICIOUS — INVESTIGATE. Risk score: 55/200. Detected: 1 indicator(s). Recommended: IOC enrichment · Add to watchlist · Analyst review,2026-03-31T09:52:14.582076Z,domain_intel
